name,latitude,longitude
Cheesy Jade unicorn,52.4544596408374,4.63593936400174
decent pear ant,52.7823255792512,4.80891051442189
cuddly peach barracuda,53.2141965766555,6.57274270096012
wild iron quail,52.7594745464048,4.82489746133985
jovial ultraviolet stallion,52.770233734365,4.99783160087723
Large Rainbow Wombat,52.6213906357885,5.01463737463732
huge frost bull,52.4569631769584,4.63672246196292
petite pineapple dragonfly,52.7698918010462,4.80442893542282
howling iron platypus,52.7532707459839,4.81439934865345
deep glossy chicken,52.8230400899203,4.89855479591577
silly pearl sidewinder,52.863871157531,4.90141154973446
fierce scarlet bull,52.8491778966692,4.87871611120674
curly olive squid,53.2280968612151,5.49265485278283
radiant seaweed gerbil,52.8760018960391,4.82836046007285
Basic Fuchsia Shark,52.2676417696372,6.16748655207629
long fuzzy sealion,52.7795520664642,5.02087906744655
Quiet brick mole,52.3399740296621,6.65660127450729
Brisk myrtle koala,52.6487866761628,5.04243510230025
Melodic iris wasp,51.684897351966,5.29501317329977
fluffy ocean dachshund,51.9008854342814,5.43641175705681
proper cyan raven,52.6827651547453,5.95923647076943
Formal stone alpaca,50.8617525445631,6.05520188051082
Urban Coal alpaca,50.9183397452562,5.77129152554349
Best daffodil Python,52.1665746664058,5.88846369413704
